Country Name,Country Code,Series Name,2015 [YR2015]
Bosnia and Herzegovina,BIH,CO2 emissions from gaseous fuel consumption (% of total),..
Bosnia and Herzegovina,BIH,GDP (current US$),15995392118
Bosnia and Herzegovina,BIH,GDP growth (annual %),3.157576299
Bosnia and Herzegovina,BIH,GDP per capita (current US$),4197.807304
Bosnia and Herzegovina,BIH,"Population, total",3810416
Bosnia and Herzegovina,BIH,Surface area (sq. km),51210
Botswana,BWA,CO2 emissions (kg per PPP $ of GDP),..
Botswana,BWA,CO2 emissions (kt),..
Botswana,BWA,CO2 emissions (metric tons per capita),..
Botswana,BWA,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Botswana,BWA,CO2 emissions from gaseous fuel consumption (% of total),..
Botswana,BWA,GDP (current US$),14390863395
Botswana,BWA,GDP growth (annual %),-0.254733178
Botswana,BWA,GDP per capita (current US$),6360.644776
Botswana,BWA,"Population, total",2262485
Botswana,BWA,Surface area (sq. km),581730
Brazil,BRA,CO2 emissions (kg per PPP $ of GDP),..
Brazil,BRA,CO2 emissions (kt),..
Brazil,BRA,CO2 emissions (metric tons per capita),..
Brazil,BRA,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Brazil,BRA,CO2 emissions from gaseous fuel consumption (% of total),..
Brazil,BRA,GDP (current US$),1.77E+12
Brazil,BRA,GDP growth (annual %),-3.847362495
Brazil,BRA,GDP per capita (current US$),8538.589975
Brazil,BRA,"Population, total",207847528
Brazil,BRA,Surface area (sq. km),8515770
British Virgin Islands,VGB,CO2 emissions (kg per PPP $ of GDP),..
British Virgin Islands,VGB,CO2 emissions (kt),..
British Virgin Islands,VGB,CO2 emissions (metric tons per capita),..
British Virgin Islands,VGB,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
British Virgin Islands,VGB,CO2 emissions from gaseous fuel consumption (% of total),..
British Virgin Islands,VGB,GDP (current US$),..
British Virgin Islands,VGB,GDP growth (annual %),..
British Virgin Islands,VGB,GDP per capita (current US$),..
British Virgin Islands,VGB,"Population, total",30117
British Virgin Islands,VGB,Surface area (sq. km),150
Brunei Darussalam,BRN,CO2 emissions (kg per PPP $ of GDP),..
Brunei Darussalam,BRN,CO2 emissions (kt),..
Brunei Darussalam,BRN,CO2 emissions (metric tons per capita),..
Brunei Darussalam,BRN,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Brunei Darussalam,BRN,CO2 emissions from gaseous fuel consumption (% of total),..
Brunei Darussalam,BRN,GDP (current US$),15492035784
Brunei Darussalam,BRN,GDP growth (annual %),-0.5
Brunei Darussalam,BRN,GDP per capita (current US$),36607.92788
Brunei Darussalam,BRN,"Population, total",423188
Brunei Darussalam,BRN,Surface area (sq. km),5770
Bulgaria,BGR,CO2 emissions (kg per PPP $ of GDP),..
Bulgaria,BGR,CO2 emissions (kt),..
Bulgaria,BGR,CO2 emissions (metric tons per capita),..
Bulgaria,BGR,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Bulgaria,BGR,CO2 emissions from gaseous fuel consumption (% of total),..
Bulgaria,BGR,GDP (current US$),48952959080
Bulgaria,BGR,GDP growth (annual %),2.967135479
Bulgaria,BGR,GDP per capita (current US$),6819.869108
Bulgaria,BGR,"Population, total",7177991
Bulgaria,BGR,Surface area (sq. km),111000
Burkina Faso,BFA,CO2 emissions (kg per PPP $ of GDP),..
Burkina Faso,BFA,CO2 emissions (kt),..
Burkina Faso,BFA,CO2 emissions (metric tons per capita),..
Burkina Faso,BFA,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Burkina Faso,BFA,CO2 emissions from gaseous fuel consumption (% of total),..
Burkina Faso,BFA,GDP (current US$),11099473097
Burkina Faso,BFA,GDP growth (annual %),3.979542067
Burkina Faso,BFA,GDP per capita (current US$),613.0419035
Burkina Faso,BFA,"Population, total",18105570
Burkina Faso,BFA,Surface area (sq. km),274220
Burundi,BDI,CO2 emissions (kg per PPP $ of GDP),..
Burundi,BDI,CO2 emissions (kt),..
Burundi,BDI,CO2 emissions (metric tons per capita),..
Burundi,BDI,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Burundi,BDI,CO2 emissions from gaseous fuel consumption (% of total),..
Burundi,BDI,GDP (current US$),3085184837
Burundi,BDI,GDP growth (annual %),-2.535865642
Burundi,BDI,GDP per capita (current US$),275.9823454
Burundi,BDI,"Population, total",11178921
Burundi,BDI,Surface area (sq. km),27830
Cabo Verde,CPV,CO2 emissions (kg per PPP $ of GDP),..
Cabo Verde,CPV,CO2 emissions (kt),..
Cabo Verde,CPV,CO2 emissions (metric tons per capita),..
Cabo Verde,CPV,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Cabo Verde,CPV,CO2 emissions from gaseous fuel consumption (% of total),..
Cabo Verde,CPV,GDP (current US$),1629759975
Cabo Verde,CPV,GDP growth (annual %),2.523108492
Cabo Verde,CPV,GDP per capita (current US$),3131.131052
Cabo Verde,CPV,"Population, total",520502
Cabo Verde,CPV,Surface area (sq. km),4030
Cambodia,KHM,CO2 emissions (kg per PPP $ of GDP),..
Cambodia,KHM,CO2 emissions (kt),..
Cambodia,KHM,CO2 emissions (metric tons per capita),..
Cambodia,KHM,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Cambodia,KHM,CO2 emissions from gaseous fuel consumption (% of total),..
Cambodia,KHM,GDP (current US$),18049954289
Cambodia,KHM,GDP growth (annual %),7.036087179
Cambodia,KHM,GDP per capita (current US$),1158.689904
Cambodia,KHM,"Population, total",15577899
Cambodia,KHM,Surface area (sq. km),181040
Cameroon,CMR,CO2 emissions (kg per PPP $ of GDP),..
Cameroon,CMR,CO2 emissions (kt),..
Cameroon,CMR,CO2 emissions (metric tons per capita),..
Cameroon,CMR,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Cameroon,CMR,CO2 emissions from gaseous fuel consumption (% of total),..
Cameroon,CMR,GDP (current US$),29198372811
Cameroon,CMR,GDP growth (annual %),6.239188246
Cameroon,CMR,GDP per capita (current US$),1250.777456
Cameroon,CMR,"Population, total",23344179
Cameroon,CMR,Surface area (sq. km),475440
Canada,CAN,CO2 emissions (kg per PPP $ of GDP),..
Canada,CAN,CO2 emissions (kt),..
Canada,CAN,CO2 emissions (metric tons per capita),..
Canada,CAN,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Canada,CAN,CO2 emissions from gaseous fuel consumption (% of total),..
Canada,CAN,GDP (current US$),1.55E+12
Canada,CAN,GDP growth (annual %),1.078268751
Canada,CAN,GDP per capita (current US$),43248.52991
Canada,CAN,"Population, total",35851774
Canada,CAN,Surface area (sq. km),9984670
Cayman Islands,CYM,CO2 emissions (kg per PPP $ of GDP),..
Cayman Islands,CYM,CO2 emissions (kt),..
Cayman Islands,CYM,CO2 emissions (metric tons per capita),..
Cayman Islands,CYM,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Cayman Islands,CYM,CO2 emissions from gaseous fuel consumption (% of total),..
Cayman Islands,CYM,GDP (current US$),..
Cayman Islands,CYM,GDP growth (annual %),..
Cayman Islands,CYM,GDP per capita (current US$),..
Cayman Islands,CYM,"Population, total",59967
Cayman Islands,CYM,Surface area (sq. km),264
Central African Republic,CAF,CO2 emissions (kg per PPP $ of GDP),..
Central African Republic,CAF,CO2 emissions (kt),..
Central African Republic,CAF,CO2 emissions (metric tons per capita),..
Central African Republic,CAF,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Central African Republic,CAF,CO2 emissions from gaseous fuel consumption (% of total),..
Central African Republic,CAF,GDP (current US$),1503299944
Central African Republic,CAF,GDP growth (annual %),5.48645856
Central African Republic,CAF,GDP per capita (current US$),306.7787523
Central African Republic,CAF,"Population, total",4900274
Central African Republic,CAF,Surface area (sq. km),622980
Chad,TCD,CO2 emissions (kg per PPP $ of GDP),..
Chad,TCD,CO2 emissions (kt),..
Chad,TCD,CO2 emissions (metric tons per capita),..
Chad,TCD,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Chad,TCD,CO2 emissions from gaseous fuel consumption (% of total),..
Chad,TCD,GDP (current US$),10888798114
Chad,TCD,GDP growth (annual %),1.799999521
Chad,TCD,GDP per capita (current US$),775.6950905
Chad,TCD,"Population, total",14037472
Chad,TCD,Surface area (sq. km),1284000
Channel Islands,CHI,CO2 emissions (kg per PPP $ of GDP),..
Channel Islands,CHI,CO2 emissions (kt),..
Channel Islands,CHI,CO2 emissions (metric tons per capita),..
Channel Islands,CHI,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Channel Islands,CHI,CO2 emissions from gaseous fuel consumption (% of total),..
Channel Islands,CHI,GDP (current US$),..
Channel Islands,CHI,GDP growth (annual %),..
Channel Islands,CHI,GDP per capita (current US$),..
Channel Islands,CHI,"Population, total",163692
Channel Islands,CHI,Surface area (sq. km),190
Chile,CHL,CO2 emissions (kg per PPP $ of GDP),..
Chile,CHL,CO2 emissions (kt),..
Chile,CHL,CO2 emissions (metric tons per capita),..
Chile,CHL,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Chile,CHL,CO2 emissions from gaseous fuel consumption (% of total),..
Chile,CHL,GDP (current US$),2.40E+11
Chile,CHL,GDP growth (annual %),2.066140519
Chile,CHL,GDP per capita (current US$),13383.8768
Chile,CHL,"Population, total",17948141
Chile,CHL,Surface area (sq. km),756096
China,CHN,CO2 emissions (kg per PPP $ of GDP),..
China,CHN,CO2 emissions (kt),..
China,CHN,CO2 emissions (metric tons per capita),..
China,CHN,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
China,CHN,CO2 emissions from gaseous fuel consumption (% of total),..
China,CHN,GDP (current US$),1.09E+13
China,CHN,GDP growth (annual %),6.9
China,CHN,GDP per capita (current US$),7924.653957
China,CHN,"Population, total",1371220000
China,CHN,Surface area (sq. km),9562911
Colombia,COL,CO2 emissions (kg per PPP $ of GDP),..
Colombia,COL,CO2 emissions (kt),..
Colombia,COL,CO2 emissions (metric tons per capita),..
Colombia,COL,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Colombia,COL,CO2 emissions from gaseous fuel consumption (% of total),..
Colombia,COL,GDP (current US$),2.92E+11
Colombia,COL,GDP growth (annual %),3.081928033
Colombia,COL,GDP per capita (current US$),6056.147717
Colombia,COL,"Population, total",48228704
Colombia,COL,Surface area (sq. km),1141749
Comoros,COM,CO2 emissions (kg per PPP $ of GDP),..
Comoros,COM,CO2 emissions (kt),..
Comoros,COM,CO2 emissions (metric tons per capita),..
Comoros,COM,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Comoros,COM,CO2 emissions from gaseous fuel consumption (% of total),..
Comoros,COM,GDP (current US$),..
Comoros,COM,GDP growth (annual %),..
Comoros,COM,GDP per capita (current US$),..
Comoros,COM,"Population, total",788474
Comoros,COM,Surface area (sq. km),1861
Costa Rica,CRI,CO2 emissions (kg per PPP $ of GDP),..
Costa Rica,CRI,CO2 emissions (kt),..
Costa Rica,CRI,CO2 emissions (metric tons per capita),..
