,All Causes,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Tuberculosis,STDs excluding HIV,Syphilis,Chlamydia,Gonorrhoea,Trichomoniasis,Genital herpes,Other STDs,HIV/AIDS,Diarrhoeal diseases,Childhood-cluster diseases,Whooping cough,Diphtheria,Measles,Tetanus,Meningitis,Encephalitis,Hepatitis,Acute hepatitis A,Acute hepatitis B,Acute hepatitis C,Acute hepatitis E,Parasitic and vector diseases,Malaria,African Trypanosomiasis,Chagas disease,Schistosomiasis,Leishmaniasis,lymphatic filariasis,Onchocerciasis,Cysticercosis,Echinococcosis,Dengue,Trachoma,Yellow fever,Rabies,Intestinal nematode infections,Ascariasis,Trichuriasis,Hookworm disease,Food-bourne trematodes,Leprosy,Other infectious diseases,Respiratory Infectious ,Lower respiratory infections,Upper respiratory infections,Otitis media,Maternal conditions,Neonatal conditions,Preterm birth complications,Birth asphyxia and birth trauma,Neonatal sepsis and infections,Other neonatal conditions,Nutritional deficiencies,Protein-energy malnutrition,Iodine deficiency,Vitamin A deficiency,Iron-deficiency anaemia,Other nutritional deficiencies,Noncommunicable diseases,Malignant neoplasms,Mouth and oropharynx cancers,Lip and oral cavity,Nasopharynx,Other pharynx,Oesophagus cancer,Stomach cancer,Colon and rectum cancers,Liver cancer,Liver cancer secondary to hepatitis B,Liver cancer secondary to hepatitis C,Liver cancer secondary to alcohol use,Other liver cancer,Pancreas cancer,"Trachea, bronchus, lung cancers",Melanoma and other skin cancers,Malignant skin melanoma,Non-melanoma skin cancer,Breast cancer,Cervix uteri cancer,Corpus uteri cancer,Ovary cancer,Prostate cancer,Testicular cancer,Kidney cancer,Bladder cancer,Brain and nervous system cancers,Gallbladder and biliary tract cancer,Larynx cancer,Thyroid cancer,Mesothelioma,"Lymphomas, multiple myeloma",Hodgkin lymphoma,Non-Hodgkin lymphoma,Multiple myeloma,Leukaemia,,Other neoplasms,Diabetes mellitus,"Endocrine, blood, immune disorders",Thalassaemias,Sickle cell disorders and trait,Other haemoglobinopathies and haemolytic anaemias,"Other endocrine, blood and immune disorders",Mental and substance use disorders,Depressive disorders,Major depressive disorder,Dysthymia,Bipolar disorder,Schizophrenia,Alcohol use disorders,Drug use disorders,Opioid use disorders,Cocaine use disorders,Amphetamine use disorders,Cannabis use disorders,Other drug use disorders,Anxiety disorders,Eating disorders,Autism and Asperger syndrome,Childhood behavioural disorders,Attention deficit/hyperactivity syndrome,Conduct disorder,Idiopathic intellectual disability,Other mental and behavioural disorders,Neurological conditions,Alzheimer disease and other dementias,Parkinson disease,Epilepsy,Multiple sclerosis,Migraine,Non-migraine headache,Other neurological conditions,Sense organ diseases,Cardiovascular diseases,Rheumatic heart disease,Hypertensive heart disease,Ischaemic heart disease,Stroke,Ischaemic stroke,Haemorrhagic stroke,"Cardiomyopathy, myocarditis, endocarditis",Other circulatory diseases,Respiratory diseases,Chronic obstructive pulmonary disease,Asthma,Other respiratory diseases,Digestive diseases,Peptic ulcer disease,Cirrhosis of the liver,Cirrhosis due to hepatitis B,Cirrhosis due to hepatitis C,Cirrhosis due to alcohol use,Other liver cirrhosis,Appendicitis,Gastritis and duodenitis,Paralytic ileus and intestinal obstruction,Inflammatory bowel disease,Gallbladder and biliary diseases,Pancreatitis,Other digestive diseases,Genitourinary diseases,Kidney diseases,Acute glomerulonephritis,Chronic kidney disease due to diabetes,Other chronic kidney disease,Benign prostatic hyperplasia,Urolithiasis,Other urinary diseases,Infertility,Gynecological diseases,Skin diseases,Musculoskeletal diseases,Rheumatoid arthritis,Osteoarthritis,Gout,Back and neck pain,Other musculoskeletal disorders,Congenital anomalies,Neural tube defects,Cleft lip and cleft palate,Down syndrome,Congenital heart anomalies,Other chromosomal anomalies,Other congenital anomalies,Oral conditions,Sudden infant death syndrome,Injuries,Unintentional injuries,Road injury,Poisonings,Falls,"Fire, heat and hot substances",Drowning,Exposure to mechanical forces,Natural disasters,Other unintentional injuries,Intentional injuries,Self-harm,Interpersonal violence,Collective violence and legal intervention
CYP,8.1,0.3,0.1,0.0,0.0,0.0,.,0.0,.,.,0.0,0.0,0.0,0.0,0.0,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,.,.,.,.,.,.,0.0,.,.,.,.,.,.,.,.,.,.,.,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,.,0.0,0.0,7.4,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.6,0.1,0.0,0.0,0.0,0.1,0.0,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.4,0.3,0.1,0.0,0.0,.,.,0.1,.,2.8,0.0,0.2,1.6,0.6,0.3,0.3,0.1,0.4,0.6,0.3,0.0,0.3,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.2,0.0,0.1,0.2,.,0.0,0.1,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.4,0.3,0.1,0.0,0.0,0.0,0.0,0.0,.,0.1,0.1,0.1,0.0,.
CZE,110.9,5.6,1.9,0.1,0.0,0.0,0.0,0.0,.,.,0.0,0.0,0.3,0.0,.,0.0,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,.,.,.,.,.,.,0.0,0.0,.,.,.,.,.,.,.,.,.,.,1.5,3.3,3.3,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.3,0.2,0.0,.,0.0,0.0,99.9,27.2,0.8,0.5,0.0,0.3,0.6,1.1,3.9,0.8,0.2,0.2,0.4,0.0,2.0,5.3,0.6,0.4,0.2,1.8,0.4,0.4,0.7,1.4,0.0,1.3,0.9,0.7,0.7,0.3,0.1,0.1,1.1,0.1,0.6,0.4,0.9,1.1,0.6,3.8,0.7,0.0,0.0,0.2,0.5,0.5,.,.,.,.,.,0.3,0.2,0.1,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,4.4,3.0,0.4,0.2,0.1,.,.,0.6,.,50.8,0.3,1.7,33.6,9.7,6.8,2.9,0.7,4.7,5.0,4.3,0.1,0.6,4.8,0.4,1.9,0.5,0.4,0.5,0.4,0.0,0.0,0.3,0.1,0.4,0.3,1.2,1.7,1.3,0.0,0.2,1.0,.,0.0,0.4,.,0.0,0.2,0.2,0.1,.,.,.,0.1,0.2,0.0,0.0,0.0,0.1,0.0,0.1,.,0.0,5.4,3.8,0.7,0.1,0.6,0.1,0.2,0.1,.,2.2,1.5,1.4,0.1,.
PRK,232.9,27.7,17.3,15.2,0.1,0.1,0.0,0.0,.,.,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.3,0.2,0.3,0.0,0.2,0.0,0.1,0.0,.,.,.,.,.,.,.,0.0,0.0,.,.,.,0.0,0.1,0.0,.,.,0.1,.,0.1,5.8,5.7,0.0,0.0,0.3,4.0,2.0,1.1,0.6,0.2,0.3,0.3,0.0,.,0.0,0.0,188.7,41.4,0.5,0.2,0.2,0.1,1.5,3.5,4.1,5.1,2.7,0.8,0.9,0.7,1.6,13.5,0.2,0.0,0.2,2.5,1.1,0.3,0.6,0.2,0.0,0.9,0.7,1.1,0.7,0.4,0.1,0.1,0.7,0.0,0.5,0.1,0.9,1.1,0.3,2.2,0.5,0.1,0.0,0.2,0.2,1.3,.,.,.,.,0.3,0.3,0.6,0.4,0.0,0.1,.,0.1,.,0.0,.,.,.,.,.,.,5.3,4.5,0.1,0.4,0.0,.,.,0.2,.,92.3,2.3,5.7,30.6,49.2,18.7,30.5,0.8,3.8,30.6,28.0,1.6,0.9,8.1,1.3,4.7,2.8,0.9,0.5,0.5,0.1,0.3,0.4,0.1,0.4,0.2,0.7,4.4,4.0,0.1,0.9,2.9,.,0.0,0.3,.,0.0,0.2,0.4,0.2,.,.,.,0.3,1.6,0.3,0.0,0.0,0.9,0.0,0.4,.,0.0,16.6,11.2,5.2,0.6,1.6,0.4,1.3,0.7,.,1.4,5.3,4.0,1.1,0.2
COD,735.4,437.5,218.3,48.3,11.3,11.2,0.0,0.0,.,.,0.0,20.5,51.2,7.4,3.8,0.1,1.5,1.9,18.6,0.9,0.9,0.2,0.4,0.0,0.3,50.7,43.3,3.5,.,1.3,0.0,.,.,1.4,0.0,0.1,.,0.5,0.6,0.2,0.2,.,.,.,0.3,8.1,84.7,84.3,0.2,0.2,16.0,87.9,38.2,30.3,15.1,4.3,30.5,22.5,0.1,.,7.6,0.4,218.0,38.7,1.5,0.8,0.4,0.3,1.9,2.0,1.8,3.9,1.2,1.5,0.9,0.3,0.4,0.4,0.7,0.6,0.2,3.1,5.2,0.3,0.6,4.1,0.0,0.3,0.5,0.2,0.0,0.3,0.3,0.0,1.7,0.2,1.1,0.4,1.0,8.5,1.2,6.3,16.8,0.0,13.0,1.7,2.1,1.2,.,.,.,.,0.0,0.6,0.5,0.5,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,9.5,4.5,0.1,4.5,0.0,.,.,0.4,.,80.2,2.6,9.4,24.1,33.9,13.2,20.7,2.7,7.6,18.6,10.4,7.0,1.2,20.3,2.9,9.5,2.1,3.0,3.0,1.4,1.1,0.8,2.4,0.6,0.8,0.2,2.0,5.0,3.2,0.0,1.0,2.2,.,0.0,1.6,.,0.2,1.0,0.4,0.1,.,.,.,0.3,18.2,4.7,0.0,0.9,6.9,1.1,4.6,.,0.5,79.9,62.0,25.9,2.8,2.6,5.1,9.3,4.4,.,11.8,17.9,7.6,10.3,.
DNK,50.1,3.2,0.8,0.0,0.0,0.0,0.0,0.0,.,.,0.0,0.0,0.2,0.0,.,0.0,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,.,.,.,.,.,.,0.0,.,.,.,.,.,.,.,.,.,.,.,0.4,2.2,2.2,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,.,0.1,0.0,45.0,16.3,0.4,0.2,0.0,0.2,0.5,0.5,2.1,0.4,0.1,0.2,0.2,0.0,1.0,3.9,0.4,0.3,0.1,1.3,0.1,0.2,0.4,1.4,0.0,0.4,0.6,0.5,0.1,0.1,0.0,0.1,0.7,0.0,0.4,0.3,0.5,0.6,0.3,1.4,0.5,0.0,0.0,0.1,0.4,0.9,.,.,.,.,0.1,0.6,0.2,0.1,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,4.9,3.8,0.4,0.1,0.1,.,.,0.5,.,12.2,0.1,0.5,5.4,3.3,1.7,1.6,0.3,2.6,4.6,4.0,0.1,0.6,2.4,0.3,0.8,0.1,0.2,0.4,0.0,0.0,0.0,0.2,0.1,0.2,0.1,0.7,0.9,0.6,0.0,0.2,0.4,.,0.0,0.3,.,0.0,0.1,0.3,0.1,.,.,.,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.1,.,0.0,2.0,1.2,0.2,0.0,0.5,0.1,0.0,0.0,.,0.4,0.8,0.7,0.1,0.0
DJI,7.2,3.4,1.8,0.3,0.0,0.0,0.0,0.0,.,.,0.0,0.6,0.4,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,.,.,0.0,0.0,.,.,0.0,0.0,0.0,.,.,0.0,0.0,0.0,.,.,.,0.0,0.1,0.7,0.7,0.0,0.0,0.1,0.6,0.3,0.2,0.1,0.0,0.2,0.1,0.0,.,0.1,0.0,3.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.1,0.1,0.0,0.1,0.0,.,.,0.0,.,1.3,0.0,0.1,0.4,0.5,0.2,0.3,0.0,0.2,0.2,0.1,0.1,0.0,0.3,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,.,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.1,.,0.0,0.7,0.6,0.2,0.0,0.1,0.1,0.1,0.0,.,0.1,0.1,0.1,0.1,.
DOM,62.3,10.9,4.6,0.5,0.0,0.0,0.0,0.0,.,.,0.0,3.1,0.4,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,.,0.1,0.0,.,.,0.0,.,.,.,0.0,0.0,0.1,.,.,0.0,.,.,.,.,.,0.0,0.1,2.3,2.3,0.0,0.0,0.1,3.6,1.8,1.0,0.6,0.2,0.2,0.2,0.0,.,0.0,0.0,42.9,10.2,0.4,0.1,0.0,0.3,0.1,0.7,0.7,0.9,0.3,0.2,0.2,0.1,0.3,1.2,0.2,0.0,0.1,0.7,0.6,0.1,0.1,2.1,0.0,0.0,0.1,0.2,0.1,0.1,0.0,0.0,0.2,0.0,0.1,0.1,0.4,1.1,0.3,2.3,0.3,0.0,0.0,0.1,0.1,0.2,.,.,.,.,0.0,0.1,0.1,0.1,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,2.1,1.8,0.1,0.1,0.0,.,.,0.1,.,20.4,0.2,1.3,11.5,6.2,2.8,3.4,0.4,0.9,1.6,1.0,0.4,0.2,2.3,0.3,1.5,0.4,0.3,0.6,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.2,1.9,1.8,0.0,0.8,1.0,.,0.0,0.1,.,0.0,0.0,0.1,0.0,.,.,.,0.1,1.3,0.0,0.0,0.1,0.6,0.0,0.6,.,0.0,8.5,4.6,2.9,0.0,0.1,0.1,0.2,0.3,.,0.9,3.9,0.7,3.2,.
ECU,82.9,13.3,3.7,0.6,0.1,0.1,0.0,0.0,.,.,0.0,1.2,0.4,0.1,0.1,0.0,.,0.0,0.1,0.1,0.0,0.0,0.0,0.0,.,0.1,.,.,0.0,.,0.0,.,.,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,0.0,0.0,0.9,5.6,5.6,0.0,0.0,0.2,2.7,1.5,0.5,0.4,0.2,1.1,0.7,0.0,.,0.3,0.1,59.1,13.7,0.1,0.1,0.0,0.0,0.2,2.5,1.0,0.9,0.5,0.1,0.2,0.1,0.5,1.0,0.3,0.1,0.2,0.8,0.9,0.1,0.2,1.2,0.1,0.2,0.1,0.5,0.4,0.1,0.2,0.0,0.8,0.1,0.6,0.2,0.9,0.8,0.7,6.6,0.8,0.0,0.0,0.2,0.6,0.7,.,.,.,.,0.0,0.4,0.2,0.2,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,1.7,0.6,0.2,0.3,0.0,.,.,0.5,.,19.2,0.1,3.5,8.3,5.0,2.6,2.4,0.3,1.9,4.3,3.3,0.1,0.9,5.7,0.3,2.5,1.2,0.2,0.8,0.4,0.1,0.1,0.3,0.0,0.4,0.4,1.6,3.3,3.1,0.0,1.4,1.6,.,0.0,0.2,.,0.0,0.1,0.4,0.1,.,.,.,0.3,1.8,0.1,0.0,0.1,0.9,0.0,0.7,.,0.1,10.5,7.6,3.3,0.1,0.6,0.1,0.5,0.2,.,2.6,2.9,1.2,1.7,.
EGY,571.4,63.5,11.8,0.2,0.2,0.2,0.0,0.0,.,.,0.0,0.3,4.0,1.4,0.4,0.0,0.4,0.7,0.6,1.5,1.4,0.1,1.1,0.0,0.2,0.6,.,.,.,0.5,0.0,.,.,0.0,0.0,0.0,.,.,0.0,0.0,0.0,.,.,.,0.0,1.4,22.1,22.1,0.0,0.0,0.8,27.9,15.8,7.0,1.9,3.3,0.8,0.7,0.0,.,0.0,0.1,476.3,76.6,1.3,0.7,0.2,0.4,1.4,1.7,2.8,17.6,1.7,12.6,2.1,1.1,2.5,4.9,0.2,0.1,0.2,7.4,0.4,0.4,1.8,1.6,0.1,1.4,4.8,3.9,0.7,0.7,0.8,0.2,5.1,0.7,3.9,0.5,4.0,10.9,3.6,21.0,9.3,0.7,1.7,4.5,2.4,3.1,.,.,.,.,0.0,0.1,2.9,2.6,0.0,0.1,.,0.1,.,0.0,.,.,.,.,.,.,16.5,14.7,0.2,1.1,0.0,.,.,0.4,.,226.9,2.0,8.8,126.3,56.7,22.6,34.1,15.2,17.8,18.2,13.2,2.2,2.7,63.4,1.8,53.7,5.5,39.1,2.3,6.8,0.3,0.2,2.8,0.4,1.5,0.8,1.9,21.1,20.4,0.1,0.4,20.0,.,0.1,0.6,.,0.0,0.5,0.3,0.1,.,.,.,0.3,15.7,0.1,0.0,0.1,10.8,0.1,4.7,.,0.1,31.6,24.4,12.2,0.5,3.1,0.7,1.9,2.1,.,4.0,7.2,2.4,4.6,0.3
SLV,40.6,4.7,1.1,0.1,0.0,0.0,0.0,0.0,.,.,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,.,0.0,.,.,0.0,.,0.0,.,.,0.0,0.0,0.0,.,.,0.0,0.0,0.0,.,.,.,0.0,0.1,2.6,2.6,0.0,0.0,0.0,0.7,0.4,0.1,0.1,0.1,0.3,0.3,0.0,.,0.0,0.0,28.9,6.4,0.1,0.0,0.0,0.1,0.1,0.9,0.4,0.5,0.1,0.2,0.1,0.1,0.2,0.4,0.1,0.0,0.1,0.3,0.4,0.2,0.1,0.5,0.0,0.1,0.0,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.3,1.5,0.0,2.0,0.1,0.0,0.0,0.0,0.1,1.0,.,.,.,.,0.0,1.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,1.8,1.6,0.0,0.1,0.0,.,.,0.0,.,9.4,0.0,0.5,6.3,1.9,0.8,1.0,0.1,0.6,1.2,0.9,0.2,0.1,2.2,0.3,1.4,0.3,0.4,0.5,0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.2,4.0,3.7,0.0,0.7,2.9,.,0.0,0.3,.,0.0,0.1,0.1,0.0,.,.,.,0.1,0.5,0.0,0.0,0.0,0.3,0.0,0.2,.,0.0,7.0,2.5,1.2,0.0,0.5,0.1,0.3,0.0,.,0.4,4.5,0.7,3.9,.
GNQ,8.7,4.4,2.3,0.1,0.0,0.0,0.0,0.0,.,.,0.0,1.1,0.3,0.2,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,.,.,0.0,.,.,.,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.1,0.9,0.9,0.0,0.0,0.1,0.8,0.3,0.3,0.1,0.1,0.2,0.1,0.0,.,0.1,0.0,3.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.2,0.0,0.1,0.0,0.1,0.0,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.1,0.1,0.0,0.1,0.0,.,.,0.0,.,1.3,0.0,0.1,0.5,0.4,0.1,0.3,0.1,0.1,0.2,0.2,0.1,0.0,0.3,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,.,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.1,.,0.0,0.9,0.7,0.2,0.0,0.1,0.1,0.1,0.1,.,0.2,0.2,0.2,0.0,.
ERI,32.1,14.9,6.9,0.6,0.2,0.2,0.0,0.0,.,.,0.0,0.5,3.2,1.0,0.2,0.0,0.7,0.1,0.7,0.1,0.1,0.0,0.1,0.0,0.0,0.4,0.1,.,.,0.1,0.0,.,.,0.1,0.0,0.0,.,0.0,0.1,0.0,0.0,.,.,.,0.0,0.2,3.4,3.4,0.0,0.0,0.7,2.6,0.8,1.0,0.6,0.1,1.2,0.7,0.0,.,0.5,0.0,13.5,2.6,0.1,0.1,0.0,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.2,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.2,0.0,0.2,0.5,0.1,0.5,0.3,0.0,0.1,0.2,0.0,0.1,.,.,.,.,0.0,0.1,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.4,0.2,0.0,0.2,0.0,.,.,0.0,.,5.7,0.1,0.6,1.7,2.3,0.8,1.5,0.1,0.9,0.8,0.5,0.3,0.0,1.7,0.2,0.7,0.2,0.2,0.2,0.1,0.0,0.1,0.4,0.0,0.1,0.0,0.2,0.3,0.2,0.0,0.1,0.1,.,0.0,0.1,.,0.0,0.1,0.0,0.0,.,.,.,0.0,0.7,0.2,0.0,0.0,0.3,0.0,0.2,.,0.0,3.8,3.1,1.3,0.2,0.3,0.2,0.3,0.2,.,0.6,0.7,0.4,0.4,.
EST,15.1,0.4,0.1,0.0,0.0,0.0,.,0.0,.,.,0.0,0.1,0.0,.,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,.,.,.,.,.,.,0.0,0.0,.,.,.,.,.,.,.,.,.,.,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,.,0.0,0.0,13.9,3.8,0.1,0.1,0.0,0.0,0.1,0.3,0.5,0.1,0.0,0.0,0.1,0.0,0.2,0.7,0.1,0.1,0.0,0.3,0.1,0.1,0.1,0.3,0.0,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.3,.,.,.,.,0.0,0.2,0.1,0.1,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.3,0.1,0.1,0.0,0.0,.,.,0.1,.,7.9,0.0,0.6,5.5,1.0,0.8,0.2,0.2,0.5,0.3,0.3,0.0,0.0,0.6,0.1,0.3,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.3,0.0,0.0,0.3,.,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.7,0.4,0.1,0.0,0.1,0.1,0.1,0.0,.,0.1,0.3,0.2,0.1,.
ETH,721.2,353.0,182.8,24.2,8.1,8.1,0.0,0.0,.,.,0.0,20.4,54.4,33.1,4.7,0.1,25.1,3.3,17.8,3.0,2.0,0.1,1.3,0.1,0.6,12.9,4.9,.,.,1.8,0.9,.,.,2.4,0.0,0.0,.,1.0,1.9,0.1,0.1,.,.,.,0.2,6.5,69.2,68.9,0.1,0.2,13.7,71.5,23.1,29.0,16.2,3.3,15.8,9.1,0.1,.,5.9,0.7,284.6,49.7,1.3,0.9,0.4,0.1,1.6,1.5,3.5,1.0,0.3,0.4,0.3,0.1,0.5,1.6,0.2,0.1,0.1,7.7,5.0,0.2,2.3,1.3,0.1,1.2,0.9,0.5,0.6,0.2,1.4,0.1,3.0,0.5,2.1,0.3,3.4,10.7,2.5,13.0,7.5,1.2,0.4,5.0,0.8,1.7,.,.,.,.,0.1,1.1,0.5,0.5,0.0,0.0,.,0.1,.,0.0,.,.,.,.,.,.,12.5,6.0,0.3,5.7,0.0,.,.,0.5,.,117.4,2.0,11.1,46.9,39.6,16.9,22.6,2.9,15.0,14.9,8.0,6.3,0.6,32.6,3.8,14.2,3.2,3.6,5.4,2.0,0.8,1.1,7.3,0.7,1.2,0.3,3.2,8.6,4.9,0.0,1.4,3.4,.,0.1,3.1,.,0.6,3.4,0.5,0.1,.,.,.,0.4,20.0,6.0,0.0,0.6,7.1,1.0,5.2,.,0.3,83.5,67.5,27.1,2.5,8.4,5.8,6.6,4.0,.,13.1,16.0,8.3,7.6,0.1
FJI,6.3,0.7,0.2,0.1,0.0,0.0,0.0,0.0,.,.,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,.,.,.,.,.,.,0.0,.,0.0,.,.,.,0.0,0.0,.,.,.,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,5.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.1,0.1,0.0,0.0,0.0,.,.,0.0,.,2.1,0.1,0.2,1.2,0.5,0.2,0.3,0.1,0.2,0.3,0.1,0.2,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.1,0.3,.,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,.,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.1,0.0,.,0.1,0.1,0.1,0.0,.
FIN,52.6,0.7,0.3,0.0,0.0,0.0,0.0,0.0,.,.,0.0,0.0,0.0,0.0,.,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,.,.,.,.,.,.,0.0,.,.,.,.,.,.,.,.,.,.,.,0.2,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,48.8,12.2,0.2,0.1,0.0,0.1,0.3,0.5,1.3,0.5,0.1,0.2,0.2,0.0,1.1,2.3,0.3,0.2,0.0,0.9,0.1,0.2,0.3,0.9,0.0,0.4,0.3,0.4,0.2,0.0,0.0,0.1,0.9,0.0,0.5,0.3,0.4,0.6,0.4,0.5,0.2,0.0,0.0,0.0,0.2,1.0,.,.,.,.,0.1,0.6,0.3,0.2,0.0,0.1,.,0.0,.,0.0,.,.,.,.,.,.,10.3,8.9,0.7,0.1,0.1,.,.,0.5,.,19.1,0.0,0.8,11.0,4.3,3.0,1.4,0.6,2.4,1.8,1.3,0.1,0.4,2.4,0.1,1.2,0.2,0.4,0.6,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.5,0.5,0.4,0.0,0.2,0.3,.,0.0,0.1,.,0.0,0.0,0.2,0.1,.,.,.,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.1,.,0.0,3.0,2.0,0.2,0.0,1.2,0.1,0.1,0.0,.,0.3,1.0,0.9,0.1,.
